county,county_fips_code,never,rarely,sometimes,frequently,always
Kauai,15007,0.0,0.021,0.046,0.108,0.825
Cayuga,36011,0.0,0.033,0.072,0.162,0.732
Hays,48209,0.0,0.007,0.022,0.115,0.855
Portsmouth city,51740,0.0,0.019,0.122,0.225,0.634
Champaign,17019,0.0,0.067,0.08,0.192,0.661
Wilson,48493,0.0,0.003,0.072,0.208,0.716
Yates,36123,0.0,0.006,0.023,0.087,0.884
Summit,08117,0.0,0.001,0.064,0.151,0.784
Karnes,48255,0.0,0.001,0.104,0.145,0.75
Greene,47059,0.125,0.178,0.033,0.254,0.41
Scott,29201,0.125,0.115,0.128,0.247,0.385
Tillamook,41057,0.125,0.04,0.092,0.163,0.581
Butts,13035,0.125,0.037,0.144,0.163,0.53
Wilson,20205,0.125,0.148,0.145,0.184,0.398
Plymouth,19149,0.125,0.145,0.166,0.162,0.402
Rockingham,37157,0.125,0.094,0.124,0.111,0.546
Jackson,13157,0.125,0.085,0.117,0.24,0.434
Sherman,48421,0.125,0.073,0.129,0.267,0.406
Culberson,48109,0.125,0.006,0.039,0.176,0.654
Lancaster,31109,0.093,0.061,0.112,0.264,0.47
Lauderdale,01077,0.093,0.119,0.141,0.179,0.469
Harris,13145,0.093,0.081,0.061,0.213,0.551
Keith,31101,0.093,0.15,0.13,0.235,0.393
Deuel,31049,0.093,0.147,0.138,0.267,0.355
Marinette,55075,0.093,0.104,0.066,0.258,0.479
Weakley,47183,0.093,0.135,0.228,0.251,0.292
Nodaway,29147,0.093,0.193,0.16,0.283,0.272
Tippecanoe,18157,0.093,0.083,0.102,0.204,0.518
Decatur,13087,0.093,0.04,0.171,0.18,0.516
Harrison,28047,0.093,0.071,0.142,0.237,0.457
Henry,21103,0.093,0.082,0.174,0.254,0.398
Blackford,18009,0.093,0.152,0.106,0.203,0.447
Sherman,31163,0.093,0.099,0.11,0.307,0.39
St. Charles,22089,0.093,0.048,0.027,0.165,0.667
Divide,38023,0.186,0.168,0.163,0.255,0.227
Floyd,13115,0.186,0.036,0.234,0.148,0.395
Pike,39131,0.186,0.124,0.124,0.158,0.409
Jasper,18073,0.186,0.1,0.065,0.328,0.321
Williams,38105,0.186,0.182,0.155,0.254,0.223
Camas,16025,0.186,0.03,0.047,0.098,0.639
Craig,40035,0.247,0.113,0.236,0.112,0.292
Johnson,56019,0.183,0.208,0.103,0.216,0.29
