county,state_name,county_fips_code,never,rarely,sometimes,frequently,always
Lincoln,Kansas,20105,0.171,0.132,0.16,0.163,0.375
Bowie,Texas,48037,0.058,0.134,0.114,0.221,0.473
Boyd,Kentucky,21019,0.084,0.125,0.202,0.235,0.354
Mason,West Virginia,54053,0.081,0.095,0.195,0.149,0.481
Otoe,Nebraska,31131,0.11,0.097,0.09,0.275,0.428
Covington,Mississippi,28031,0.11,0.105,0.085,0.193,0.506
Lyon,Iowa,19119,0.078,0.173,0.157,0.247,0.344
Parmer,Texas,48369,0.033,0.081,0.089,0.277,0.521
Benzie,Michigan,26019,0.01,0.049,0.062,0.164,0.715
Suffolk,New York,36103,0.04,0.019,0.053,0.106,0.782
Haywood,North Carolina,37087,0.077,0.039,0.03,0.188,0.666
Clark,Missouri,29045,0.154,0.138,0.165,0.223,0.32
Ogle,Illinois,17141,0.053,0.045,0.129,0.184,0.589
Summers,West Virginia,54089,0.053,0.104,0.166,0.111,0.567
Jefferson,Iowa,19101,0.074,0.116,0.221,0.191,0.398
Shelby,Tennessee,47157,0.034,0.025,0.105,0.184,0.653
Mecosta,Michigan,26107,0.091,0.104,0.087,0.243,0.475
New Castle,Delaware,10003,0.027,0.013,0.041,0.133,0.786
Wilkinson,Mississippi,28157,0.146,0.143,0.075,0.155,0.481
Lafayette,Florida,12067,0.102,0.081,0.22,0.208,0.389
Manistee,Michigan,26101,0.035,0.05,0.087,0.121,0.707
Osage,Missouri,29151,0.067,0.133,0.171,0.16,0.469
Waller,Texas,48473,0.016,0.06,0.07,0.236,0.618
Story,Iowa,19169,0.045,0.075,0.071,0.235,0.574
Ellsworth,Kansas,20053,0.174,0.133,0.133,0.187,0.373
Caddo,Louisiana,22017,0.058,0.079,0.158,0.209,0.497
Oldham,Texas,48359,0.084,0.065,0.109,0.278,0.464
Payette,Idaho,16075,0.081,0.199,0.174,0.242,0.304
Hale,Alabama,01065,0.026,0.061,0.084,0.191,0.639
LaSalle,Illinois,17099,0.018,0.046,0.113,0.267,0.556
Pickens,South Carolina,45077,0.066,0.059,0.146,0.236,0.493
Henry,Alabama,01067,0.066,0.068,0.17,0.258,0.438
Grand Isle,Vermont,50013,0.031,0.039,0.088,0.113,0.729
Daviess,Missouri,29061,0.124,0.166,0.172,0.247,0.291
Hughes,Oklahoma,40063,0.089,0.037,0.146,0.213,0.514
DuPage,Illinois,17043,0.01,0.01,0.056,0.163,0.76
Beaufort,North Carolina,37013,0.037,0.08,0.041,0.219,0.623
Alger,Michigan,26003,0.025,0.034,0.118,0.229,0.595
Fairfax city,Virginia,51600,0.025,0.015,0.075,0.173,0.712
Gladwin,Michigan,26051,0.025,0.024,0.109,0.338,0.503
Lincoln,Washington,53043,0.017,0.086,0.023,0.108,0.765
Sullivan,Missouri,29211,0.136,0.127,0.174,0.223,0.341
Webster,West Virginia,54101,0.065,0.083,0.163,0.211,0.479
Taliaferro,Georgia,13265,0.065,0.048,0.086,0.158,0.644
Grant,Kentucky,21081,0.047,0.056,0.183,0.106,0.608
Logan,Oklahoma,40083,0.03,0.027,0.114,0.31,0.519
Otsego,Michigan,26137,0.06,0.068,0.097,0.172,0.602
Calhoun,Illinois,17013,0.082,0.06,0.219,0.366,0.273
Lewis,Missouri,29111,0.164,0.109,0.177,0.23,0.32
Huntingdon,Pennsylvania,42061,0.07,0.06,0.155,0.232,0.483
Monroe,Illinois,17133,0.003,0.04,0.112,0.174,0.67
Brazos,Texas,48041,0.012,0.038,0.067,0.347,0.537
Jackson,Colorado,08057,0.021,0.027,0.09,0.342,0.52
Woods,Oklahoma,40151,0.165,0.116,0.166,0.281,0.272
Peoria,Illinois,17143,0.039,0.036,0.096,0.251,0.577
Borden,Texas,48033,0.039,0.115,0.125,0.107,0.614
Lafayette,Missouri,29107,0.033,0.098,0.052,0.247,0.571
Ben Hill,Georgia,13017,0.129,0.078,0.109,0.202,0.483
Wood,Texas,48499,0.046,0.073,0.071,0.283,0.526
Crawford,Iowa,19047,0.089,0.045,0.141,0.064,0.66
Jerome,Idaho,16053,0.175,0.219,0.096,0.167,0.343
Guilford,North Carolina,37081,0.04,0.055,0.117,0.199,0.588
Walton,Georgia,13297,0.106,0.127,0.184,0.141,0.442
Cass,Illinois,17017,0.103,0.08,0.19,0.187,0.441
Camden,Missouri,29029,0.266,0.093,0.147,0.124,0.371
Navajo,Arizona,04017,0.091,0.108,0.059,0.139,0.602
Houston,Texas,48225,0.182,0.09,0.104,0.15,0.474
Columbus,North Carolina,37047,0.179,0.043,0.113,0.155,0.511
Florence,South Carolina,45041,0.114,0.08,0.133,0.109,0.564
Monroe,Pennsylvania,42089,0.019,0.047,0.052,0.061,0.822
Ziebach,South Dakota,46137,0.105,0.053,0.172,0.235,0.434
Juneau City and Borough,Alaska,02110,0.051,0.067,0.133,0.396,0.353
Calcasieu,Louisiana,22019,0.102,0.139,0.077,0.212,0.471
